gap_percent,K,wall_seconds,solver_seconds,achieved_gap,accepted,status,objective,dual_bound
1,1,134.0208207090036,120.84139391600183,0.019995743947818986,False,Time limit reached,38529.261519621563,37773.943419113566
1,2,144.37524329200096,120.19578816700232,0.02659125783663209,False,Time limit reached,76670.553049976486,74684.595709052446
1,3,154.84161841699824,120.53625237499364,0.028724111612033098,False,Time limit reached,114679.11440241241,111477.03558994815
2,1,131.17951091700525,118.76716991700232,0.019995743947818986,True,Optimal,38529.261519621563,37773.943419113566
2,2,148.17283162500098,121.35067470800277,0.026900864289574035,False,Time limit reached,76670.553049976486,74662.078605823714
2,3,171.51473087500199,132.88867158300127,0.028724111612033098,False,Time limit reached,114679.11440241241,111477.03558994815
3,1,21.169337874998746,9.1771324169967556,0.027998664510963871,True,Optimal,38529.261519621563,37479.875071579569
3,2,56.358261166999,29.064327458996559,0.029938125956102263,True,Optimal,76670.553049976486,74441.902011154714
3,3,70.426163667005312,32.041839249999612,0.029687493476094642,True,Optimal,114679.11440241241,111372.73699932999
4,1,3.6789803330029827,3.5179300000017975,0.039985917764309382,True,certified_by_feasible_policy_and_global_lp_lower_bound,38576.20042897181,37093.002674401869
4,2,49.453558332999819,23.051244041998871,0.030552400188715995,True,Optimal,76670.553049976486,74397.529942132474
4,3,72.536773084000743,34.271494250002434,0.029687493476094642,True,Optimal,114679.11440241241,111372.73699932999
5,1,2.4935935419998714,2.2634039580079843,0.049251933279769879,True,certified_by_feasible_policy_and_global_lp_lower_bound,38919.904767267835,37093.002674401869
5,2,5.9815504170037457,5.518609083002957,0.049792824908335385,True,certified_by_feasible_policy_and_global_lp_lower_bound,77295.741338953594,73629.519563255555
5,3,8.619937834002485,8.0440417909994721,0.049916318587976807,True,certified_by_feasible_policy_and_global_lp_lower_bound,115651.13541809499,110152.71728858656
