id,question,parameter,value,date,role,status,started_at,total_cost,planned_cost,adjustment_cost,emergency_kwh,emergency_cost,min_soc,final_soc,charge_kwh,discharge_kwh,throughput_kwh,seconds,reliable,max_gap,nodes,certified_nodes,history_sha256,physical_verified,delta_cost_pct,delta_emergency_kwh,delta_emergency_pct,emergency_pct_defined,status_label,signature,dispatch_sha256,audit_sha256,optional,soc_upper_fraction,soc_lower_fraction
q3_S_10_2025-03-12,q3,S,10,2025-03-12,常规日,limited,1789277173.498673,42632.132088775761,43983.620822878991,-1631.2717165205445,81.152720303670606,279.78298241731471,1213.1005995970274,9677.7329627926065,21528.948122224996,17801.828007320451,39330.776129545447,36.364281332993414,False,0.21915306829820028,4,3,,True,0.2035896339857792,44.460365166826421,121.17064985611154,True,限时可行 / 未认证,6bddb11c1aa8a728b1dfb825a2c145312bf7bc992e12c82f29ff5ad6ff6c7914,169ee08fd088c0cd863738fe090207c9516ff1cf8712da3344eae66990812215,97206ad28771c4df1eff5f4c0171481094c3ad415469464037d091c2636bedb4,,0.069444444444444448,0
baseline_q3_S_10_2025-03-12,q3,S,20,2025-03-12,常规日,baseline_reused,,42545.513832886019,44005.404538370101,-1611.0778999291633,36.692355136844185,151.18719444508554,1248.9056517417532,9669.3764088815515,21233.962705587466,17570.410718364004,38804.373423951474,36.909480917980545,False,,4,3,,True,0,0,0,True,,,,,,0.083333333333333329,0
q3_S_28_2025-03-12,q3,S,28,2025-03-12,常规日,limited,1789277209.877471,40282.101425234192,42255.571383445778,-1973.4699582115895,0,0,1332.187305011337,4025.1242974685697,14895.507367288939,17516.088794613876,32411.596161902817,60.160393541009398,False,4.4435137662851378,4,0,,True,-5.3199790148081325,-36.692355136844185,-100,True,限时可行 / 未认证,c9100ed8e3e76f0bcdcca6dadbf365e1db1c9db5f9223a93cc98f82a624cb19c,bcd2c237b8fa20042225de5157c088804bba7214f687bf0c43b67f8c67ad351d,cd86cda2f1218cf9d1d53578c5f2891a8f6dce364315490c5d0406bf2669d626,,0.083333333333333329,0
q3_S_10_2025-08-25,q3,S,10,2025-08-25,高预测更新日,limited,1789277270.0553641,52923.098820924897,57402.273981169907,-4479.1751602450122,0,0,1627.2142059487892,10024.883580868387,20946.237634606252,16796.11043138379,37742.348065990038,45.843415290990379,False,0.12610564093688767,4,2,,True,-1.4449912746352136,-22.655337004360263,-100,True,限时可行 / 未认证,e0ccc820571d035c8d6b903d43c60fac13453196710fbfd8f211c4548c1805fe,b42a84f239cc98592fe168fd06a12838fc665ac4dcc8b98787bbe93949744c39,6b163bbebece2b1aa6f63d5a28d1d1dd6f80a499b25f3498551d510371e87e16,,0.069444444444444448,0
baseline_q3_S_10_2025-08-25,q3,S,20,2025-08-25,高预测更新日,baseline_reused,,53699.045340659839,58660.591820442132,-5057.2954524329562,22.655337004360263,95.748972650663902,1710.6855926034459,10077.809874267907,20788.933845525811,16621.060698169058,37409.994543694869,44.327987332988414,False,,4,2,,True,0,0,0,True,,,,,,0.10416666666666667,0
q3_S_28_2025-08-25,q3,S,28,2025-08-25,高预测更新日,limited,1789277315.9173162,51435.708420605821,56921.250440898635,-5577.7866782533783,21.062828624400709,92.244657960562904,2208.0260372878106,3580.9604988853725,12754.580823445973,15960.399188128673,28714.980011574648,41.961288833001163,False,1.1116337147861661,4,3,,True,-4.2148550420136894,-1.5925083799595541,-7.0292857689693991,True,限时可行 / 未认证,4c228a977a77c94389b8780e2a439a60e09a8da8c0998aaa93c66cf991845d6b,8f1df77a1613748555700f86e81097ca58206780ae9ca66d3c59967774fde0a8,a5bb83995a0ad250bdba703cf82ac4d0857e72b3f3f423ca7bdf6e9e7970a3b0,,0.069444444444444448,0
q3_S_10_2025-07-01,q3,S,10,2025-07-01,高调整成本日,limited,1789277357.8948412,80349.070841358509,41487.89360393487,11321.235541578246,5886.3971412503661,27539.941695845395,1200,7350.6450274083481,15660.039017721752,15017.905595263512,30677.944612985266,51.730065542011289,False,0.10823365635393641,4,1,,True,4.791574342752714,1331.1232888560389,29.221586494879524,True,限时可行 / 未认证,a5103361b39bf884851894a3a185d0936bb578f52900632ec47a9d9c327ae91a,f0a39864fd4e4813c7b01c9e05c8b646948ad1af5a0922effdf7d37e6e826439,6ddfaffa58e8041c5b3e45d512d27fdf8d39635085b0d0f6c9669a07546ec0da,,0,0.097222222222222224
baseline_q3_S_10_2025-07-01,q3,S,20,2025-07-01,高调整成本日,baseline_reused,,76675.125214315834,41952.854882816144,12224.592278422484,4555.2738523943272,22497.678053077208,1200,6684.4687314379426,14686.450760168836,14828.857773019021,29515.308533187857,51.874550501015619,False,,4,1,,True,0,0,0,True,,,,,,0,0.090277777777777776
q3_S_28_2025-07-01,q3,S,28,2025-07-01,高调整成本日,limited,1789277409.638185,76364.348469234072,41903.378379338894,12439.740757161793,4319.3258539010985,22021.229332733379,1200,6645.5137010654325,14731.373075610773,14900.304375862246,29631.67745147302,54.096029916981934,False,0.087262673728736764,4,1,,True,-0.40531625375648994,-235.94799849322862,-5.1796666048784417,True,限时可行 / 未认证,cd5aa79f99922ea013387a694dbedac3efe4aabb14d020817659bd2aaaad766a,bb1457d1333c43b4162ca1566a7faf5e4d51bd0ecc6217e7c84ca866957646af,d06fcf9cee376dc10f9065221155e3219907aa647c59aec167656b940935f2df,,0,0.090277777777777776
q3_S_10_2025-07-02,q3,S,10,2025-07-02,高风险日,limited,1789277463.7484059,72891.988704110321,42966.626449393545,6033.1220471981769,4797.6058430202811,23892.240207518604,1200,7887.4570234761277,18208.353560233649,13666.076920954887,31874.430481188538,48.368479875003686,False,0.096217034266653415,4,2,,True,6.1649823245039013,827.35374912571888,20.838821554883634,True,限时可行 / 未认证,3ae40d801d61a54e237fac9d98d976514b7e099bcd714355536ffca53f82ff00,d2cb06e4e7b09c1ae954513b021cc1978b46c56a93f5eaae600f2aadfe4fcf01,f0063893ebdbdbba1d3715493443af5b52b3d6f8c586993c45b8c1acee24ae90,,0,0.1111111111111111
