date,hour,scenario_seconds,terminal_seconds,status,seconds,solver_seconds,scenario_count,slots,requested_gap,seed_accepted,terminal,variables,constraints,binaries,objective,lower_bound,gap,mapping_error,reliable
2025-02-01,0,0.000330834009218961,0.4544049159885617,timelimit,15.270248957996955,14.095753,17,144,0,True,0.47544444444443795,34704,51408,17136,21761.43568949039,21694.928164031269,0.0030562103717835434,0,False
2025-02-01,6,0.00042129200301133096,0.42723866600135807,timelimit,15.374174832992139,14.594856,17,144,0,True,0.89297999999998856,34812,51624,17136,326.10543214147219,325.68213103888002,0.0012980498356388586,0,False
2025-02-01,12,0.00027433400100562721,0.46413066599052399,timelimit,15.282948332998785,14.464732,17,144,0,True,0.83711111111108039,34776,51552,17136,20213.543976448575,20211.034925718388,0.00012412720565527476,0,False
2025-02-01,18,0.00026779201289173216,0.42925600000307895,timelimit,15.257436792002409,14.416839,17,144,0,True,1.213440963166704,34740,51480,17136,25036.782400619486,25006.687364697184,0.0012020328906783902,0,False
2025-06-21,0,0.0031134169985307381,0.45568437500332948,timelimit,15.29321291699307,14.085877,20,144,0,True,0.47544444444443795,40752,60480,20160,19847.620164411208,19629.873020859104,0.010970944715203008,0,False
2025-06-21,6,0.0024057080008788034,0.42811399999482092,timelimit,15.310903459001565,14.389551000000001,20,144,0,True,0.76316777777781686,40860,60696,20160,3036.7653467798691,2927.9963119238937,0.035817398591995959,0,False
2025-06-21,12,0.0023815829918021336,0.38453833399398718,timelimit,15.319071042002179,14.558918999999999,20,144,0,True,0.74377777777783194,40824,60624,20160,7257.9272658506798,6207.1148706340491,0.14478133449487912,0,False
2025-06-21,18,0.0030937920091673732,0.41311729200242553,timelimit,15.414714207989164,14.510821,20,144,0,True,1.2134700000000158,40788,60552,20160,14768.279676053831,13939.395176454938,0.056126002336135038,0,False
2025-12-21,0,0.003698832995723933,0.41859945800388232,timelimit,15.300322999988566,13.929983999999999,20,144,0,True,0.47544444444443795,40752,60480,20160,60994.063813767658,60150.253436131636,0.013834303289126904,0,False
2025-12-21,6,0.0039141250017564744,0.4754454159992747,timelimit,15.331194333004532,14.311182000000001,20,144,0,True,0.88925110766391291,40860,60696,20160,1551.46692659373,1321.395116876706,0.14829308042173373,0,False
2025-12-21,12,0.0043511669937288389,0.50616162500227802,timelimit,15.364658124992275,13.789762,20,144,0,True,0.83711111111108039,40824,60624,20160,21578.797975584006,21355.044177272488,0.010369150244823235,0,False
2025-12-21,18,0.0046009170036995783,0.4247045420052018,timelimit,15.328158167001675,13.875389999999999,20,144,0,True,1.2133902282749842,40788,60552,20160,37979.771092947303,37756.854220064117,0.0058693579889580018,0,False
