job,date,budget,K,M,S,seconds,solver,reliable,gap,time_limit,binary,constraints,audit,audit_sha256
main,2025-02-01,original,1,17,17,21.596628875,SCIP_native_MILP_presolve_and_HiGHS_bound,True,0.008143194484,,17136,68544,outputs/q2/dispatch_runs/20260911_224501/processed/main/daily_audit/2025-02-01.json,8542a0f5e98f4512708afc27fe9a9a06fa074646099d3c55455e6c13213b7db3
main,2025-02-01,original,2,16,16,30.492581541,SCIP_native_MILP_presolve_and_HiGHS_bound,True,0.00647782529818,,32256,129024,outputs/q2/dispatch_runs/20260911_224501/processed/main/daily_audit/2025-02-01.json,8542a0f5e98f4512708afc27fe9a9a06fa074646099d3c55455e6c13213b7db3
main,2025-02-01,original,3,15,15,81.610949333,SCIP_native_MILP_presolve_and_HiGHS_bound,True,0.00519667153062,,45360,181440,outputs/q2/dispatch_runs/20260911_224501/processed/main/daily_audit/2025-02-01.json,8542a0f5e98f4512708afc27fe9a9a06fa074646099d3c55455e6c13213b7db3
main,2025-02-02,original,1,18,18,0.969826333001,SCIP_native_MILP_presolve_and_HiGHS_bound,True,0.00551094751848,,18144,72576,outputs/q2/dispatch_runs/20260911_224501/processed/main/daily_audit/2025-02-02.json,bcab4ac98428624d38052533468df0d3073bcb011318e55bc4abc21e1610f1ea
main,2025-02-02,original,2,17,17,2.067965583,SCIP_native_MILP_presolve_and_HiGHS_bound,True,0.0088941233102,,34272,137088,outputs/q2/dispatch_runs/20260911_224501/processed/main/daily_audit/2025-02-02.json,bcab4ac98428624d38052533468df0d3073bcb011318e55bc4abc21e1610f1ea
main,2025-02-02,original,3,16,16,3.223026542,SCIP_native_MILP_presolve_and_HiGHS_bound,True,0.00892107332279,,48384,193536,outputs/q2/dispatch_runs/20260911_224501/processed/main/daily_audit/2025-02-02.json,bcab4ac98428624d38052533468df0d3073bcb011318e55bc4abc21e1610f1ea
main,2025-02-03,original,1,19,19,1.168400792,SCIP_native_MILP_presolve_and_HiGHS_bound,True,0.005912276677,,19152,76608,outputs/q2/dispatch_runs/20260911_224501/processed/main/daily_audit/2025-02-03.json,c219e0f478081f7ba9cc9bbebd51e841a506510a6ce0717d1db7743b69513b1d
main,2025-02-03,original,2,18,18,2.309016625,SCIP_native_MILP_presolve_and_HiGHS_bound,True,0.00889389558255,,36288,145152,outputs/q2/dispatch_runs/20260911_224501/processed/main/daily_audit/2025-02-03.json,c219e0f478081f7ba9cc9bbebd51e841a506510a6ce0717d1db7743b69513b1d
main,2025-02-03,original,3,17,17,3.488255709,SCIP_native_MILP_presolve_and_HiGHS_bound,True,0.00922589165551,,51408,205632,outputs/q2/dispatch_runs/20260911_224501/processed/main/daily_audit/2025-02-03.json,c219e0f478081f7ba9cc9bbebd51e841a506510a6ce0717d1db7743b69513b1d
main,2025-02-04,original,1,20,20,1.392464458,SCIP_native_MILP_presolve_and_HiGHS_bound,True,0.00801337301747,,20160,80640,outputs/q2/dispatch_runs/20260911_224501/processed/main/daily_audit/2025-02-04.json,ccdd7c6b20014d775f10169da84370c440ddc7d7c3a43676e83d1b2560fbfe03
main,2025-02-04,original,2,19,19,2.66783675,SCIP_native_MILP_presolve_and_HiGHS_bound,True,0.0091740360699,,38304,153216,outputs/q2/dispatch_runs/20260911_224501/processed/main/daily_audit/2025-02-04.json,ccdd7c6b20014d775f10169da84370c440ddc7d7c3a43676e83d1b2560fbfe03
main,2025-02-04,original,3,18,18,3.823084126,SCIP_native_MILP_presolve_and_HiGHS_bound,True,0.00919035954042,,54432,217728,outputs/q2/dispatch_runs/20260911_224501/processed/main/daily_audit/2025-02-04.json,ccdd7c6b20014d775f10169da84370c440ddc7d7c3a43676e83d1b2560fbfe03
main,2025-02-05,original,1,21,21,1.369569042,SCIP_native_MILP_presolve_and_HiGHS_bound,True,0.00919965744425,,21168,84672,outputs/q2/dispatch_runs/20260911_224501/processed/main/daily_audit/2025-02-05.json,de60cae3bedf862c8c6c403fc6fae5e7db331e66e6109a5d3d3777a6eab4287a
main,2025-02-05,original,2,20,20,4.346329792,SCIP_native_MILP_presolve_and_HiGHS_bound,True,0.00533960907068,,40320,161280,outputs/q2/dispatch_runs/20260911_224501/processed/main/daily_audit/2025-02-05.json,de60cae3bedf862c8c6c403fc6fae5e7db331e66e6109a5d3d3777a6eab4287a
main,2025-02-05,original,3,19,19,6.662147001,SCIP_native_MILP_presolve_and_HiGHS_bound,True,0.00586690564749,,57456,229824,outputs/q2/dispatch_runs/20260911_224501/processed/main/daily_audit/2025-02-05.json,de60cae3bedf862c8c6c403fc6fae5e7db331e66e6109a5d3d3777a6eab4287a
main,2025-02-06,original,1,22,22,1.3999215,SCIP_native_MILP_presolve_and_HiGHS_bound,True,0.00940236796267,,22176,88704,outputs/q2/dispatch_runs/20260911_224501/processed/main/daily_audit/2025-02-06.json,b817e51faf51345d58ec38f1b931b758eb18c3c8ab7b67af2f2844f35d2fe328
main,2025-02-06,original,2,21,21,4.449009041,SCIP_native_MILP_presolve_and_HiGHS_bound,True,0.00716945845145,,42336,169344,outputs/q2/dispatch_runs/20260911_224501/processed/main/daily_audit/2025-02-06.json,b817e51faf51345d58ec38f1b931b758eb18c3c8ab7b67af2f2844f35d2fe328
main,2025-02-06,original,3,20,20,6.611918958,SCIP_native_MILP_presolve_and_HiGHS_bound,True,0.00793566254587,,60480,241920,outputs/q2/dispatch_runs/20260911_224501/processed/main/daily_audit/2025-02-06.json,b817e51faf51345d58ec38f1b931b758eb18c3c8ab7b67af2f2844f35d2fe328
main,2025-02-07,original,1,23,23,43.729455,SCIP,True,0.00898069639644,120,23184,92736,outputs/q2/dispatch_runs/20260911_224501/processed/main/daily_audit/2025-02-07.json,61ba7cc1626c2c54692e04f66ce71b8273dec5a8b841aaa1ef731eb4a5529a3a
