date,total_cost,emergency,net_mae,peak_net,initial_soc,median_cost_distance
2025-02-01,24045.49000806938,16.20030121432353,39.463999177284066,580.8233333333333,6000.0,19433.57517476375
2025-02-02,56421.72406531392,0.0,43.72541388522202,1050.2641833333332,8835.938716540168,12942.658882480791
2025-02-03,55800.57573416005,24.320542722519605,28.508945197842916,1038.5457999999999,8603.150878154613,12321.510551326915
2025-02-04,57111.55913706681,351.3082384617819,32.03724311010097,1024.5981666666667,8498.509021813044,13632.49395423368
2025-02-05,57422.75990132938,608.0038509104081,24.529928595194804,1055.5136499999999,8617.911232110133,13943.694718496248
2025-02-06,54728.52093510909,0.0,27.077660961830617,1047.8633833333333,8387.45803556323,11249.455752275957
2025-02-07,21956.645931164316,0.0,50.244130878008214,536.0374499999999,8378.97867252276,21522.419251668816
2025-02-08,20297.246725380253,124.16516736869517,31.93622360905137,535.145,8573.247397113317,23181.81845745288
2025-02-09,55202.44149356064,602.2367598389413,28.965641415161908,1023.1360500000001,8430.639714310906,11723.376310727508
2025-02-10,53072.8950820362,17.98367322697345,46.31529569159027,1033.9102666666665,8185.3740846453675,9593.829899203069
2025-02-11,52723.54454502324,91.69107694900813,30.30134752225303,1018.9183333333333,8070.241431322525,9244.479362190104
2025-02-12,51812.56773070594,1.2900056894908403,30.43197721287855,1033.9135999999999,8055.527707834833,8333.502547872806
2025-02-13,51091.00384914748,36.04973779334193,51.36452548214433,1032.6516,8024.702084678651,7611.938666314345
2025-02-14,20294.924088883312,0.0,33.15298688411307,559.76725,7362.053824409024,23184.14109394982
2025-02-15,20814.24324706827,10.43605748254646,28.91958736470155,547.6416666666667,7705.281273819505,22664.821935764863
2025-02-16,55815.33171038716,1547.7706244340632,27.852367781494294,1062.0898166666666,8842.108273166403,12336.266527554028
2025-02-17,48698.62943447548,3.8227354555323245,33.137629492616625,1035.72535,7905.267549256098,5219.564251642347
2025-02-18,48238.11363892052,28.013351739009295,25.4926472994852,1050.4096166666666,7951.879138636959,4759.048456087388
2025-02-19,53330.95689122194,956.7180843970241,28.800785496184915,1029.7483333333332,8158.137271926331,9851.891708388808
2025-02-20,49273.53464235149,422.82089191787077,30.690872639907518,1037.1063666666666,8021.448169981899,5794.469459518361
2025-02-21,19280.891427547693,7.943276471866225,27.407532015253665,555.7010833333333,6624.356861270164,24198.17375528544
2025-02-22,20415.428692642632,277.6701034528878,25.65400071281476,583.6283333333333,6710.183743375665,23063.6364901905
2025-02-23,51034.2653989982,908.8245783357462,28.147800553055994,1033.6255666666666,8008.551634562661,7555.200216165067
2025-02-24,47251.06132885993,87.5499831816954,33.262400660272725,1063.8215500000001,7858.537460703709,3771.996146026795
2025-02-25,46862.586339347494,73.92094164975435,47.1999521410302,1036.7745333333332,7884.091969379819,3383.521156514362
2025-02-26,46761.36450704643,143.64441963947237,28.437771525234595,1039.9668,7886.734112202658,3282.2993242133016
2025-02-27,49292.57445773136,1040.7178063125991,32.40824319398996,1055.2393166666666,7999.987431258896,5813.509274898228
2025-02-28,18825.70773729902,218.70631256833786,28.580231480502896,526.1417833333333,5868.019220728587,24653.35744553411
2025-03-01,19286.02680909693,44.35877111143346,39.30877847765371,537.605,6055.575087372634,24193.038373736203
2025-03-02,71564.10666488134,4537.872809538368,56.38356174494946,1062.5473166666666,7985.336562287479,28085.04148204821
2025-03-03,67946.35956595842,4132.005283714656,45.588781051069525,1040.4258833333333,7819.500629422452,24467.294383125292
2025-03-04,47077.63152319358,403.0914781951621,28.132990860398504,1009.99005,7832.056009349678,3598.5663403604485
2025-03-05,46292.08004216683,22.75695960143782,35.38946231597484,1039.6322166666666,7981.003255472366,2813.0148593337
2025-03-06,45949.534302634696,21.37746801251125,31.704211507954433,1069.63015,8144.103790186139,2470.4691198015644
2025-03-07,17542.939580395036,0.0,42.30893964881264,495.9816666666666,5507.97871956005,25936.125602438096
2025-03-08,19160.414673773932,169.64734371128267,36.01738791633892,537.6133333333332,4989.884532674315,24318.6505090592
2025-03-09,45228.08635841391,80.03863304757323,41.29776515892201,997.9846,8361.821455992955,1749.021175580776
2025-03-10,45146.531962644964,36.368053111681654,38.27985950030103,1009.9508999999999,8048.134527652719,1667.4667798118317
2025-03-11,43814.99419672635,22.29531768365974,32.189915906472024,1016.0025999999999,8276.856438317387,335.92901389321923
2025-03-12,43142.53069322354,25.11340858670838,33.27953495805505,1017.9089666666666,8246.112350118554,336.53448960959213
2025-03-13,45025.234142224275,379.87965021551094,44.69836495245566,1007.3714166666666,7651.847988631118,1546.1689593911433
2025-03-14,16640.119734044438,68.82305131879315,37.64549654792577,496.715,4282.65123989649,26838.945448788694
2025-03-15,18539.51841706769,46.780708487268555,35.32694664830512,576.6216666666667,4578.268561410198,24939.54676576544
2025-03-16,43370.923701614214,24.842939826123853,34.404084391895665,1005.1957833333332,8016.839271281352,108.14148121891776
2025-03-17,43281.811203742815,9.269124560522847,52.448338756254294,998.8702333333333,8324.603176100794,197.25397909031744
2025-03-18,43715.114900141314,209.44680254711957,34.467878119871074,996.54755,8425.403755201613,236.04971730818215
2025-03-19,43109.07322468089,178.95564039743724,37.24538626022764,996.7119166666666,8335.147131966034,369.99195815224084
2025-03-20,41668.89975982063,53.56733285022533,24.12763335051129,973.09075,8609.115227693961,1810.1654230124986
2025-03-21,15734.913837183021,10.250716050445192,41.95704328422905,494.82499999999993,4837.479004295264,27744.151345650112
2025-03-22,18084.528312213035,0.0,26.477685578674038,581.2366666666667,4045.6987943286817,25394.536870620097
2025-03-23,40675.025444018866,17.842003523957032,38.66773665663399,979.9608000000001,8529.603311005445,2804.0397388142665
2025-03-24,41157.05426231315,72.09145532424301,28.885510930150254,978.32305,7994.940700577149,2322.010920519984
2025-03-25,41190.93907183433,247.4967891473493,32.83699376723139,956.1431833333332,8286.76577256701,2288.1261109988045
2025-03-26,40707.48122591268,19.351199795632624,40.22986904106114,940.3994333333333,7954.741529232775,2771.5839569204545
2025-03-27,38560.89365687406,45.590716042985406,28.972685188397122,929.2446,8352.62085892002,4918.171525959071
2025-03-28,15647.841718052494,21.293583971852385,34.55966840155208,508.0322166666666,4050.646370949741,27831.22346478064
2025-03-29,17316.212512437796,0.0,45.55326629043279,569.365,4218.87274557657,26162.852670395336
2025-03-30,39361.11964085706,2.387082506883985,31.623079090416574,952.57735,7995.325280873718,4117.945541976071
