date,hour,scenario_seconds,terminal_seconds,status,seconds,solver_seconds,scenario_count,slots,requested_gap,seed_accepted,terminal,variables,constraints,binaries,objective,lower_bound,gap,mapping_error,reliable
2025-02-01,0,0.00031604200194124132,0.45127400000637863,timelimit,15.293183417001273,14.540761,17,144,0,True,0.47544444444443795,34704,51408,17136,22045.99211178079,21697.360236577202,0.015813843778765036,0,False
2025-02-01,6,0.00028987499536015093,0.42609574999369215,timelimit,15.248310041002696,14.571745,17,144,0,True,0.89297999999998856,34812,51624,17136,443.71848534657693,443.29518424398657,0.00095398572872105721,0,False
2025-02-01,12,0.00029362500936258584,0.46352458299952559,timelimit,15.281639624998206,14.515682999999999,17,144,0,True,0.83711111111108039,34776,51552,17136,20246.782426225647,20243.638478254077,0.00015528136300302513,0,False
2025-02-01,18,0.00027266699180472642,0.42777108399604913,timelimit,15.2542803339893,14.492136,17,144,0,True,1.213440963166704,34740,51480,17136,25037.055916084661,25009.808834657142,0.0010882701831573564,0,False
2025-06-21,0,0.003225749998819083,0.45996720899711363,timelimit,15.31346816700534,14.556506000000001,20,144,0,True,0.47544444444443795,40752,60480,20160,19978.343763717206,19629.69445336943,0.01745136205839851,0,False
2025-06-21,6,0.0023827499971957877,0.43014337499334943,timelimit,15.312694874999579,14.509060999999999,20,144,0,True,0.76316777777781686,40860,60696,20160,3119.665945583688,2984.865282893913,0.04320996704169678,0,False
2025-06-21,12,0.0023437500058207661,0.38390570900810417,timelimit,15.378018959003384,14.705577999999999,20,144,0,True,0.74377777777783194,40824,60624,20160,7315.0179846698347,6276.1404810587537,0.14201981537000569,0,False
2025-06-21,18,0.0029204169986769557,0.40411300001142081,timelimit,15.293510124989552,14.527519999999999,20,144,0,True,1.2134700000000158,40788,60552,20160,14763.201574667537,13925.452611894671,0.056745751152675182,0,False
2025-12-21,0,0.0035930839949287474,0.47289912498672493,timelimit,15.303097042007721,14.381539999999999,20,144,0,True,0.47544444444443795,40752,60480,20160,61465.572811238082,60150.253436131636,0.021399286054745094,0,False
2025-12-21,6,0.003881083001033403,0.45591699999931734,timelimit,15.324687374988571,14.408947,20,144,0,True,0.88925110766391291,40860,60696,20160,2118.8940733315994,1853.6361336536413,0.12518697513787713,0,False
2025-12-21,12,0.004103708008187823,0.41612741599965375,timelimit,15.326448333013104,14.343837000000001,20,144,0,True,0.83711111111108039,40824,60624,20160,22217.824365797882,21529.919377225397,0.030961851945838864,0,False
2025-12-21,18,0.0046422919986071065,0.42325808299938217,timelimit,15.335303792002378,14.251177999999999,20,144,0,True,1.2133902282749842,40788,60552,20160,38370.775180072429,37759.010993798569,0.01594349302047917,0,False
