date,path,n,absolute_error_sum_kw,squared_error_sum_kw2,econ_loss_sum
2025-02-01,direct_net_week,144,31794.429199999995,10668440.98569796,4106.4453890900004
2025-02-01,separate_strong_baselines,144,35130.454185714283,13117549.969423966,3935.0098935847618
2025-02-02,direct_net_week,144,58151.207500000004,42290804.125761814,7387.5337013416674
2025-02-02,separate_strong_baselines,144,42440.449171428569,18649077.475902356,5495.3744076459525
2025-02-03,direct_net_week,144,32738.760699999999,12904017.583357869,5714.6191092166691
2025-02-03,separate_strong_baselines,144,28916.64141428571,9828574.0604029037,5043.1045986980935
2025-02-04,direct_net_week,144,40438.576499999996,17678943.202296633,5495.0345091533327
2025-02-04,separate_strong_baselines,144,32887.543614285722,10388851.31985984,6358.4414920476211
2025-02-05,direct_net_week,144,27706.033799999997,9061921.6498008184,8213.3089347483328
2025-02-05,separate_strong_baselines,144,26492.933900000004,7875118.3921937868,5489.3622387619043
2025-02-06,direct_net_week,144,32803.511199999994,11477150.473686039,5780.0289643516644
2025-02-06,separate_strong_baselines,144,29365.823914285713,9362857.4330286272,4999.9261485035686
2025-02-07,direct_net_week,144,47100.231299999999,31653048.358338814,4164.4991966350008
2025-02-07,separate_strong_baselines,144,45072.723085714293,28196582.264769677,4162.5177535245239
2025-02-08,direct_net_week,144,29488.145500000002,11012965.726777429,4410.0334486149986
2025-02-08,separate_strong_baselines,144,31227.157899999998,12395639.806189831,4265.1982665333308
2025-02-09,direct_net_week,144,30442.333899999998,12769720.757466849,9928.670013836665
2025-02-09,separate_strong_baselines,144,24217.267957142849,8451794.6687874831,7060.9802470685672
2025-02-10,direct_net_week,144,44377.668099999995,28503026.233668655,6526.7048991466645
2025-02-10,separate_strong_baselines,144,43601.38938571429,26413370.287947081,6368.5689410049999
2025-02-11,direct_net_week,144,43541.330700000006,27843208.886363626,7152.4098644233354
2025-02-11,separate_strong_baselines,144,28221.791728571428,9630431.609164482,5109.6466358754778
2025-02-12,direct_net_week,144,41354.964100000012,28664857.221997671,6267.9511307850025
2025-02-12,separate_strong_baselines,144,27885.06552857142,9688843.1042267159,5204.3409630492861
2025-02-13,direct_net_week,144,63409.091,58858729.552770704,8945.2732774949982
