total_cost,planned_cost,emergency_kwh,emergency_cost,min_soc,final_soc,initial_soc,adjustment_up_kwh,adjustment_down_kwh,adjustment_abs_kwh,adjustment_net_kwh,adjustment_cost,solve_seconds,solver_native_seconds,solve_wall_seconds,scenario_seconds,nodes,all_optimal,max_gap,mode,date,role,parameter,setting,baseline_reused,day_elapsed_seconds,delta_cost_pct,delta_emergency_kwh,delta_emergency_pct,delta_adjustment_cost
97404.541864988714,54372.441962024706,10461.63603915999,43032.099902964022,1199.9999999999998,1800.0000000000014,1199.9999999999998,0,0,0,0,0,0.38268708399846219,0.33808645899989642,1.5735740420059301,0.20129554200684652,1,True,1.1417567688497325e-16,4-2,2025-07-01,高联合风险日,rho,0.75,False,1.6883381670049857,1.2977641308586609,375.08645412781152,3.7186795243084596,0
86379.212579182713,57466.024081189069,6836.8574267696595,28913.188497993629,1199.9999999999982,2549.9999999999982,7200.0000000000036,0,0,0,0,0,0.5021614590077661,0.45705429199733771,1.6845521670184098,0.19803620799211785,1,True,0,4-2,2025-07-06,高运行压力日,rho,0.75,False,1.7975259159866255,1.5299604520650414,568.93894627048303,9.0769997733788763,0
49087.608170374966,41797.258136566408,2102.6888026573261,7290.3500338085505,1199.9999999999982,1199.9999999999982,2550.0000000000045,0,0,0,0,0,0.38457695898250677,0.33332149998750538,1.5282333329960238,0.20557733299210668,1,True,0,4-2,2025-09-18,常规日,rho,0.75,False,1.6470421669946518,0.039570842125971888,66.997250366977596,3.2911297535031405,0
77788.040729627683,71735.618118492028,1198.2089576615754,6052.422611135652,1199.9999999999982,9300.0000000000018,10200.000000000004,0,0,0,0,0,0.58880895801121369,0.54363620799267665,1.7407056670053862,0.20616679199156351,1,True,0,4-2,2025-12-14,高价格波动日,rho,0.75,False,1.8485243750037625,-0.1133868387529391,195.35664060455895,19.480100637136196,0
94067.103544835874,54814.84487119798,9524.9123137486167,39252.258673637902,1199.9999999999995,1199.9999999999995,1199.9999999999998,0,0,0,0,0,0.57555020897416398,0.53022724998299964,1.7518379999964964,0.20129554200684652,1,True,1.1164326193145062e-16,4-2,2025-07-01,高联合风险日,rho,1.25,False,1.8675695830024779,-2.1730703218584755,-561.63727128356186,-5.5681803430282759,0
83651.366387962247,58892.112442262034,5771.8947561592413,24759.25394570022,1199.9999999999982,2549.9999999999982,7200.0000000000036,0,0,0,0,0,0.47235549998003989,0.42781787499552593,1.6354964580095839,0.19803620799211785,1,True,0,4-2,2025-07-06,高运行压力日,rho,1.25,False,1.7457636249891948,-1.6763447184069189,-496.02372433993514,-7.9136913774990871,0
49045.122062837661,41997.454479185151,1994.3060679538635,7047.6675836525174,1199.9999999999995,1199.9999999999995,2550.0000000000045,0,0,0,0,0,0.41960208301316015,0.37519000002066605,1.5950710419856478,0.20557733299210668,1,True,0,4-2,2025-09-18,常规日,rho,1.25,False,1.7051638329867274,-0.047015001495341026,-41.385484336484978,-2.0329938634329121,0
78041.515336982586,73395.554533782095,881.72153995855979,4645.9608032004762,1200,10050.000000000002,10200.000000000004,0,0,0,0,0,0.6568613339914009,0.61210879200370982,1.8236503750085831,0.20616679199156351,1,True,1.8941074533417661e-16,4-2,2025-12-14,高价格波动日,rho,1.25,False,1.9330755000119098,0.21209661363352622,-121.13077709845663,-12.078625639907639,0
94742.772591796587,54807.182177419316,9706.8430790938073,39935.590414377264,1199.9999999999977,1799.9999999999977,1199.9999999999998,0,0,0,0,0,0.62893979100044817,0.58337366601335816,1.7901184170041233,0.21463570799096487,1,True,0,4-2,2025-07-01,高联合风险日,weight,0.29999999999999999,False,2.1185274580202531,-1.4703950416398441,-379.70650593837127,-3.7644836099535213,0
83951.359543173254,58390.775501218086,6008.7738828065021,25560.584041955179,1200,1950,7200.0000000000036,0,0,0,0,0,0.47179554202011786,0.42570079199504107,1.6347404580155853,0.21386208297917619,1,True,0,4-2,2025-07-06,高运行压力日,weight,0.29999999999999999,False,1.9603754589916207,-1.3237333403332536,-259.14459769267432,-4.134460243842164,0
48962.696009873158,41950.593508716469,1988.1884531318847,7012.1025011566871,1199.9999999999998,1200,2550.0000000000045,0,0,0,0,0,0.49450574998627417,0.44960108300438151,1.6528570420050528,0.21503304201178253,1,True,1.2313067600472184e-16,4-2,2025-09-18,常规日,weight,0.29999999999999999,False,1.9795712920022197,-0.21499766091030442,-47.503099158463783,-2.3335116317115054,0
76994.926277875056,72981.701620099193,741.03345470676913,4013.2246577758619,1199.9999999999964,9299.9999999999982,10200.000000000004,0,0,0,0,0,0.58241641698987223,0.53748008300317451,1.7578714579867665,0.21555225001065992,1,True,1.9066811937618328e-16,4-2,2025-12-14,高价格波动日,weight,0.29999999999999999,False,2.0816040839999914,-1.1318148090647748,-261.81886235024729,-26.107419596794109,0
94724.537204542954,54754.224217840259,9704.4392848510961,39970.312986702695,1199.9999999999998,1200.0000000000014,1199.9999999999998,0,0,0,0,0,0.46937362500466406,0.42442529200343415,1.8117607079911977,0.2089215420128312,1,True,0,4-2,2025-07-01,高联合风险日,weight,0.69999999999999996,False,2.1333843750180677,-1.4893592903441171,-382.11030018108249,-3.7883152901772355,0
86093.201275418833,57368.175989430907,6726.8923870774415,28725.025285987926,1199.9999999999991,2699.9999999999991,7200.0000000000036,0,0,0,0,0,0.46418804198037833,0.4187652499822434,1.6606375419942196,0.20353066601091996,1,True,0,4-2,2025-07-06,高运行压力日,weight,0.69999999999999996,False,1.9759517079801299,1.1937833153103981,458.97390657826509,7.3225889584593391,0
