date,K,M,S,initial_soc,final_soc,cost,emergency_kwh,computational_limited
2025-02-01,3,15,15,8482.7663850000008,8866.2126873182824,22961.041431765185,26.639171256731487,False
2025-02-02,2,17,17,8866.2126873182824,8603.3583242191362,56125.711822350044,0,False
2025-02-03,2,18,18,8603.3583242191362,8506.4308142589853,55769.076476636161,63.218740478961251,False
2025-02-04,2,19,19,8506.4308142589853,8237.5097713318191,55442.216091074006,80.421975943359769,False
2025-02-05,2,20,20,8237.5097713318191,8315.7460561265198,55025.765793474879,96.332235738633329,False
2025-02-06,2,21,21,8315.7460561265198,8406.3012125309469,54293.203813405416,0,False
2025-02-07,2,22,22,8406.3012125309469,8399.4180549964785,21422.047532128807,3.2865035958564874,False
2025-02-08,2,23,23,8399.4180549964785,8406.0409790422109,19528.908516859767,0,False
2025-02-09,2,24,24,8406.0409790422109,7887.9422775804578,58472.606159064606,1050.0555196647178,False
2025-02-10,2,25,25,7887.9422775804578,7914.3339396574947,52537.356942778591,16.487134755920124,False
2025-02-11,2,26,26,7914.3339396574947,7900.5122119252655,51835.048187136177,54.61182725989238,False
2025-02-12,2,27,27,7900.5122119252655,7977.391406663518,51409.086440533487,1.6196190228192791,False
2025-02-13,2,27,27,7977.391406663518,7060.2490327520127,50374.600539391708,37.044746032563921,False
2025-02-14,2,27,27,7060.2490327520127,7032.7760188377606,18932.215147799954,62.625366608056218,False
2025-02-15,2,27,27,7032.7760188377606,7763.0986846048017,19439.433994135408,128.77668974888553,False
2025-02-16,2,27,27,7763.0986846048017,7673.081753008697,55060.548100659631,1098.2962158785601,False
2025-02-17,2,27,27,7673.081753008697,7866.1985089829677,49030.806662003226,14.054671944523193,False
2025-02-18,2,27,27,7866.1985089829677,8005.8297270311568,48656.635407514463,29.633020382240943,False
2025-02-19,2,27,27,8005.8297270311568,7493.6921964285548,50647.257896350508,509.10934793717388,False
2025-02-20,2,27,27,7493.6921964285548,6407.8518209464455,47046.450451239543,15.9745647510872,False
2025-02-21,2,27,27,6407.8518209464455,6475.9127520579159,17901.74473654438,12.067334758517063,False
2025-02-22,2,27,27,6475.9127520579159,7831.9257310663434,18616.119379548876,60.969817485369333,False
2025-02-23,2,27,27,7831.9257310663434,7756.1486216464536,50082.149258654987,660.1381870522099,False
2025-02-24,2,27,27,7756.1486216464536,7776.479488447957,46676.986062897871,107.97550067596947,False
2025-02-25,2,27,27,7776.479488447957,7828.6886668356592,46172.205073012643,102.92956361349331,False
2025-02-26,2,27,27,7828.6886668356592,7890.277694082306,46935.081775849532,277.68770517292774,False
2025-02-27,2,27,27,7890.277694082306,5804.273845693634,46829.266370407036,703.67419258335553,False
2025-02-28,2,27,27,5804.273845693634,5938.2540962804487,17297.694223772211,28.448822717363271,False
2025-03-01,2,27,27,5938.2540962804487,7815.3724484446702,18857.366266329376,192.3159551699857,False
2025-03-02,2,27,27,7815.3724484446702,7791.8889231632656,75573.433548349858,5351.8829338115256,False
2025-03-03,2,27,27,7791.8889231632656,7795.4059697610237,69659.800223857921,4220.6230693192483,False
2025-03-04,3,26,26,7795.4059697610237,7709.1779393497682,49552.644139454402,773.58018599851584,False
