date,execution_budget,K,M,S,selected,status,reliable,objective_yuan,lower_bound_yuan,gap,seconds,continuous_before,binary_before,constraints_before,continuous_after,binary_after,constraints_after,solver,version,audit_file
2025-02-07,original,1,23,23,False,gaplimit,True,19374.634762221463,19202.1857617471,0.0089806963964436555,43.729455000000002,43488,23184,92736,36874,19787,78593,SCIP,10.0.2,outputs/q2/dispatch_runs/20260911_224501/processed/main/daily_audit/2025-02-07.json
2025-02-07,original,2,22,22,False,timelimit,False,40043.828443437014,0,1e+20,120.012171,83232,44352,177408,70461,37897,150256,SCIP,10.0.2,outputs/q2/dispatch_runs/20260911_224501/processed/main/daily_audit/2025-02-07.json
2025-02-07,original,3,21,21,True,certified_by_feasible_policy_and_global_lp_lower_bound,True,93392.883905941169,92641.211028000529,0.0081138066914242888,6.5003185000005033,119232,63504,254016,112691,56774,230776,SCIP_native_MILP_presolve_and_HiGHS_bound,10.0.2,outputs/q2/dispatch_runs/20260911_224501/processed/main/daily_audit/2025-02-07.json
2025-02-08,original,1,24,24,False,timelimit,False,17012.52669940031,16823.772605791532,0.011219486736512411,120.02122300000001,45360,24192,96768,38046,20441,81133,SCIP,10.0.2,outputs/q2/dispatch_runs/20260911_224501/processed/main/daily_audit/2025-02-08.json
2025-02-08,original,2,23,23,True,certified_by_feasible_policy_and_global_lp_lower_bound,True,70245.797771088255,69674.847150355927,0.0081945012308421231,4.6875454159999208,86976,46368,185472,82797,41982,170466,SCIP_native_MILP_presolve_and_HiGHS_bound,10.0.2,outputs/q2/dispatch_runs/20260911_224501/processed/main/daily_audit/2025-02-08.json
2025-02-08,original,3,22,22,False,certified_by_feasible_policy_and_global_lp_lower_bound,True,123782.41978295746,122929.55940334426,0.0069377974162818969,6.8160010830015381,124848,66528,266112,120138,61620,249264,SCIP_native_MILP_presolve_and_HiGHS_bound,10.0.2,outputs/q2/dispatch_runs/20260911_224501/processed/main/daily_audit/2025-02-08.json
2025-02-09,original,1,25,25,False,certified_by_feasible_policy_and_global_lp_lower_bound,True,49871.917393489362,49648.492367536091,0.0045001371703154271,2.5986753330016654,47232,25200,100800,46291,24059,97144,SCIP_native_MILP_presolve_and_HiGHS_bound,10.0.2,outputs/q2/dispatch_runs/20260911_224501/processed/main/daily_audit/2025-02-09.json
2025-02-09,original,2,24,24,True,certified_by_feasible_policy_and_global_lp_lower_bound,True,103505.7870267822,102882.30373937308,0.006060160637426662,4.6838927080007124,90720,48384,193536,88952,46424,187000,SCIP_native_MILP_presolve_and_HiGHS_bound,10.0.2,outputs/q2/dispatch_runs/20260911_224501/processed/main/daily_audit/2025-02-09.json
2025-02-09,original,3,23,23,False,certified_by_feasible_policy_and_global_lp_lower_bound,True,156504.41696112161,155605.1651787734,0.0057790612626198012,7.5089335419997951,130464,69552,278208,127941,66845,269044,SCIP_native_MILP_presolve_and_HiGHS_bound,10.0.2,outputs/q2/dispatch_runs/20260911_224501/processed/main/daily_audit/2025-02-09.json
2025-02-10,original,1,26,26,False,certified_by_feasible_policy_and_global_lp_lower_bound,True,51035.159973522954,50562.090992386868,0.0093561989200034515,1.6811023339996609,49104,26208,104832,48290,25160,101554,SCIP_native_MILP_presolve_and_HiGHS_bound,10.0.2,outputs/q2/dispatch_runs/20260911_224501/processed/main/daily_audit/2025-02-10.json
